countryCode	countryName	regionCode	regionName	regionTypeName	source	totalArea	totalPopulation	totalPopulationDensity	url
GBR	United Kingdom	E06000016	Leicester	unitary authority	Office for National Statistics	73	342627	4694	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E06000018	Nottingham	unitary authority	Office for National Statistics	75	318901	4252	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E06000017	Rutland	unitary authority	Office for National Statistics	382	38046	100	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E10000007	Derbyshire	county	Office for National Statistics	2547	782365	307	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E07000032	Amber Valley	non-metropolitan district (two-tier)	Office for National Statistics	265	124069	468	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E07000033	Bolsover	non-metropolitan district (two-tier)	Office for National Statistics	160	77780	486	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E07000034	Chesterfield	non-metropolitan district (two-tier)	Office for National Statistics	66	104407	1582	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E07000035	Derbyshire Dales	non-metropolitan district (two-tier)	Office for National Statistics	792	71145	90	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E07000036	Erewash	non-metropolitan district (two-tier)	Office for National Statistics	110	114510	1041	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E07000037	High Peak	non-metropolitan district (two-tier)	Office for National Statistics	539	91496	170	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E07000038	North East Derbyshire	non-metropolitan district (two-tier)	Office for National Statistics	276	99639	361	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E07000039	South Derbyshire	non-metropolitan district (two-tier)	Office for National Statistics	338	99319	294	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E10000018	Leicestershire	county	Office for National Statistics	2083	675309	324	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E07000129	Blaby	non-metropolitan district (two-tier)	Office for National Statistics	130	96544	743	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E07000130	Charnwood	non-metropolitan district (two-tier)	Office for National Statistics	279	176720	633	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E07000131	Harborough	non-metropolitan district (two-tier)	Office for National Statistics	592	89284	151	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E07000132	Hinckley and Bosworth	non-metropolitan district (two-tier)	Office for National Statistics	297	108769	366	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E07000133	Melton	non-metropolitan district (two-tier)	Office for National Statistics	481	50912	106	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E07000134	North West Leicestershire	non-metropolitan district (two-tier)	Office for National Statistics	279	97247	349	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E07000135	Oadby and Wigston	non-metropolitan district (two-tier)	Office for National Statistics	24	55833	2326	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
